corpus,file_path,respect_boundaries,stream_len,n_segments,n_windows,W,step,top_n,max_lag,short_lag_to,block,perm,seed,lag,mean_overlap_obs,mean_overlap_null_mean,mean_overlap_null_sd,z_lag_overlap,n_pairs
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,18,1.5687311178247734,1.457679758308157,0.03023057342297432,3.6734784339955855,1324
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,19,1.5804988662131518,1.457822373393802,0.030764998715023882,3.9875344691446886,1323
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,20,1.58018154311649,1.457231467473525,0.031230088398978142,3.9369109069504935,1322
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,0,47843,1,1908,150,25,3,20,5,80,1000,1,1,2.462506554798112,2.401325117986366,0.014177889302203124,4.315271159737379,1907
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,0,47843,1,1908,150,25,3,20,5,80,1000,1,2,2.222980062959077,2.131001573976915,0.016041342131352963,5.733839988512502,1906
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,0,47843,1,1908,150,25,3,20,5,80,1000,1,3,2.0404199475065616,1.9167123359580052,0.018113137817690073,6.829717346253407,1905
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,0,47843,1,1908,150,25,3,20,5,80,1000,1,4,1.903361344537815,1.7358634453781512,0.020955019779640278,7.993211217218865,1904
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,0,47843,1,1908,150,25,3,20,5,80,1000,1,5,1.7498686284813452,1.5809012086179717,0.022852663643435765,7.393773544289134,1903
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,0,47843,1,1908,150,25,3,20,5,80,1000,1,6,1.6351209253417456,1.4511435331230285,0.023770863149444085,7.73961765974071,1902
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,0,47843,1,1908,150,25,3,20,5,80,1000,1,7,1.6144134665965282,1.4320247238295634,0.023582537824149388,7.734059163903557,1901
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,0,47843,1,1908,150,25,3,20,5,80,1000,1,8,1.595263157894737,1.4259057894736842,0.023870531207134938,7.09483031405818,1900
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,0,47843,1,1908,150,25,3,20,5,80,1000,1,9,1.5576619273301737,1.4248809899947341,0.024145594006801586,5.499178744496262,1899
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,0,47843,1,1908,150,25,3,20,5,80,1000,1,10,1.5263435194942043,1.4249077976817703,0.024701993182764562,4.106378018240617,1898
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,0,47843,1,1908,150,25,3,20,5,80,1000,1,11,1.5039536109646812,1.4245550869794412,0.024955015573293455,3.1816659762060517,1897
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,0,47843,1,1908,150,25,3,20,5,80,1000,1,12,1.490506329113924,1.4249815400843882,0.02499116224153555,2.6219184364556294,1896
